Scenario, Year, SSB, Catch, R, SER
1,2026,2612.7,10,30876.4,0.00125552
1,2027,2768.55,10.534,30554.5,0.00113831
1,2028,3048.96,11.4913,30919.7,0.00104595
1,2029,3621.84,13.0453,31343.3,0.00103309
1,2030,4187.43,15.4871,31433.6,0.0010985
2,2026,2579.84,331.548,30876.4,0.0415558
2,2027,2624.41,333.404,30464.6,0.0370606
2,2028,2822.34,351.673,30585.4,0.0334881
2,2029,3308.69,391.587,31023.3,0.0328284
2,2030,3783.68,460.933,31500.2,0.0349338
3,2026,2544.57,663.096,30876.4,0.0829585
3,2027,2478.39,634.438,30363,0.0726697
3,2028,2604.09,646.663,30157.4,0.0645006
3,2029,3019.57,707.719,30531.4,0.0628184
3,2030,3420.5,827.988,31311.9,0.0670223
4,2026,2507.77,994.644,30876.4,0.124196
4,2027,2335.11,903.608,30251.1,0.106749
4,2028,2400.99,890.638,29642.9,0.0930235
4,2029,2761.69,960.977,29891.5,0.0901612
4,2030,3103.75,1120.36,30905.7,0.0966412
5,2026,2469.27,1326.19,30876.4,0.165255
5,2027,2194.66,1141.47,30127.5,0.139215
5,2028,2212.51,1089.13,29040.7,0.119072
5,2029,2532.04,1162.59,29122.9,0.115105
5,2030,2826.57,1353.77,30325.5,0.124204
6,2026,2428.9,1657.74,30876.4,0.206121
6,2027,2057.17,1348.64,29990.6,0.169982
6,2028,2038.11,1247.51,28350.2,0.142698
6,2029,2327.75,1322.47,28246.2,0.137949
6,2030,2582.8,1540.87,29613.8,0.150139
7,2026,2386.45,1989.29,30876.4,0.246776
7,2027,1922.74,1525.82,29838.4,0.19896
7,2028,1877.2,1371.03,27571.5,0.163992
7,2029,2146.04,1449.29,27283.2,0.159038
7,2030,2366.96,1691.58,28808.3,0.174873
8,2026,2294.25,2652.38,30876.4,0.327367
8,2027,1663.62,1793.35,29478,0.251186
8,2028,1593.36,1533.53,25754.3,0.200192
8,2029,1839.85,1632.42,25184.2,0.197497
8,2030,2000.26,1912.25,27037.2,0.222315
